MapZone,Value,Count,FBP_30m_90,CA_FuelType,CAFuelGrp,CA_SprHaz,CA_SumHaz,z01x_cfdrs,LF_FuelType,LFFuelGrp,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,1,2564841,5,C-5,Conifer,3,2,7,C-7,Conifer,4,3,-1,-1
1,2,6529080,5,C-5,Conifer,3,2,3,C-3,Conifer,7,7,-4,-5
1,3,2304482,3,C-3,Conifer,7,7,3,C-3,Conifer,7,7,0,0
1,4,324571,3,C-3,Conifer,7,7,60,M-1/M-2,Mixed,7,6,0,1
1,5,1836063,5,C-5,Conifer,3,2,60,M-1/M-2,Mixed,7,6,-4,-4
1,6,733130,5,C-5,Conifer,3,2,33,O-1a/O-1b,Open,8,2,-5,0
1,7,1431068,3,C-3,Conifer,7,7,33,O-1a/O-1b,Open,8,2,-1,5
1,8,443165,7,C-7,Conifer,4,3,33,O-1a/O-1b,Open,8,2,-4,1
1,9,224127,7,C-7,Conifer,4,3,60,M-1/M-2,Mixed,7,6,-3,-3
1,10,172759,7,C-7,Conifer,4,3,5,C-5,Conifer,3,2,1,1
1,11,2892580,5,C-5,Conifer,3,2,5,C-5,Conifer,3,2,0,0
1,12,158084,7,C-7,Conifer,4,3,7,C-7,Conifer,4,3,0,0
1,13,53518,675,M-1/M-2 (75 PC),Mixed,8,8,60,M-1/M-2,Mixed,7,6,1,2
1,14,459163,675,M-1/M-2 (75 PC),Mixed,8,8,33,O-1a/O-1b,Open,8,2,0,6
1,15,9280402,102,Water,NonFuel,0,0,102,Water,NonFuel,0,0,0,0
1,16,119136,31,O-1a,Open,8,2,102,Water,NonFuel,0,0,8,2
1,17,3899,2,C-2,Conifer,10,10,102,Water,NonFuel,0,0,10,10
1,18,367073,11,D-1,Deciduous,3,3,60,M-1/M-2,Mixed,7,6,-4,-3
1,19,40325,650,M-1/M-2 (50 PC),Mixed,7,6,60,M-1/M-2,Mixed,7,6,0,0
1,20,548809,415,M-1 (15 PC),Mixed,3,3,33,O-1a/O-1b,Open,8,2,-5,1
1,21,497647,31,O-1a,Open,8,2,33,O-1a/O-1b,Open,8,2,0,0
1,22,602613,3,C-3,Conifer,7,7,5,C-5,Conifer,3,2,4,5
1,23,1830448,3,C-3,Conifer,7,7,7,C-7,Conifer,4,3,3,4
1,24,174708,625,M-1/M-2 (25 PC),Mixed,5,3,33,O-1a/O-1b,Open,8,2,-3,1
1,25,224103,13,D-1/D-2,Deciduous,3,1,33,O-1a/O-1b,Open,8,2,-5,-1
1,26,338348,31,O-1a,Open,8,2,101,NF,NonFuel,0,0,8,2
1,27,337686,11,D-1,Deciduous,3,3,33,O-1a/O-1b,Open,8,2,-5,1
1,28,22335,625,M-1/M-2 (25 PC),Mixed,5,3,5,C-5,Conifer,3,2,2,1
1,29,131454,11,D-1,Deciduous,3,3,5,C-5,Conifer,3,2,0,1
1,30,129637,675,M-1/M-2 (75 PC),Mixed,8,8,7,C-7,Conifer,4,3,4,5
1,31,180508,13,D-1/D-2,Deciduous,3,1,101,NF,NonFuel,0,0,3,1
1,32,40127,13,D-1/D-2,Deciduous,3,1,5,C-5,Conifer,3,2,0,-1
1,33,23259,101,NF,NonFuel,0,0,3,C-3,Conifer,7,7,-7,-7
1,34,244780,415,M-1 (15 PC),Mixed,3,3,3,C-3,Conifer,7,7,-4,-4
1,35,122329,3,C-3,Conifer,7,7,101,NF,NonFuel,0,0,7,7
1,36,44023,31,O-1a,Open,8,2,3,C-3,Conifer,7,7,1,-5
1,37,166787,2,C-2,Conifer,10,10,3,C-3,Conifer,7,7,3,3
1,38,83165,5,C-5,Conifer,3,2,102,Water,NonFuel,0,0,3,2
1,39,8441,650,M-1/M-2 (50 PC),Mixed,7,6,33,O-1a/O-1b,Open,8,2,-1,4
1,40,10080,650,M-1/M-2 (50 PC),Mixed,7,6,5,C-5,Conifer,3,2,4,4
1,41,317398,675,M-1/M-2 (75 PC),Mixed,8,8,3,C-3,Conifer,7,7,1,1
1,42,3131,102,Water,NonFuel,0,0,3,C-3,Conifer,7,7,-7,-7
1,43,33187,415,M-1 (15 PC),Mixed,3,3,60,M-1/M-2,Mixed,7,6,-4,-3
1,44,358487,7,C-7,Conifer,4,3,3,C-3,Conifer,7,7,-3,-4
1,45,92038,415,M-1 (15 PC),Mixed,3,3,7,C-7,Conifer,4,3,-1,0
1,46,305037,101,NF,NonFuel,0,0,33,O-1a/O-1b,Open,8,2,-8,-2
1,47,59401,625,M-1/M-2 (25 PC),Mixed,5,3,60,M-1/M-2,Mixed,7,6,-2,-3
1,48,63327,11,D-1,Deciduous,3,3,101,NF,NonFuel,0,0,3,3
1,49,15042,2,C-2,Conifer,10,10,60,M-1/M-2,Mixed,7,6,3,4
1,50,68175,31,O-1a,Open,8,2,60,M-1/M-2,Mixed,7,6,1,-4
1,51,44614,13,D-1/D-2,Deciduous,3,1,3,C-3,Conifer,7,7,-4,-6
1,52,19321,13,D-1/D-2,Deciduous,3,1,60,M-1/M-2,Mixed,7,6,-4,-5
1,53,14601,101,NF,NonFuel,0,0,5,C-5,Conifer,3,2,-3,-2
1,54,213253,415,M-1 (15 PC),Mixed,3,3,101,NF,NonFuel,0,0,3,3
1,55,68229,675,M-1/M-2 (75 PC),Mixed,8,8,101,NF,NonFuel,0,0,8,8
1,56,41940,7,C-7,Conifer,4,3,101,NF,NonFuel,0,0,4,3
1,57,35231,31,O-1a,Open,8,2,5,C-5,Conifer,3,2,5,0
1,58,273336,101,NF,NonFuel,0,0,101,NF,NonFuel,0,0,0,0
1,59,63502,625,M-1/M-2 (25 PC),Mixed,5,3,3,C-3,Conifer,7,7,-2,-4
1,60,142162,11,D-1,Deciduous,3,3,3,C-3,Conifer,7,7,-4,-4
1,61,39089,625,M-1/M-2 (25 PC),Mixed,5,3,101,NF,NonFuel,0,0,5,3
1,62,76524,415,M-1 (15 PC),Mixed,3,3,5,C-5,Conifer,3,2,0,1
1,63,3138,650,M-1/M-2 (50 PC),Mixed,7,6,3,C-3,Conifer,7,7,0,-1
1,64,41279,3,C-3,Conifer,7,7,102,Water,NonFuel,0,0,7,7
1,65,36372,3,C-3,Conifer,7,7,100,NA,NonFuel,0,0,7,7
1,66,38021,11,D-1,Deciduous,3,3,7,C-7,Conifer,4,3,-1,0
1,67,11781,102,Water,NonFuel,0,0,60,M-1/M-2,Mixed,7,6,-7,-6
1,68,73291,31,O-1a,Open,8,2,100,NA,NonFuel,0,0,8,2
1,69,27056,13,D-1/D-2,Deciduous,3,1,100,NA,NonFuel,0,0,3,1
1,70,1622506,101,NF,NonFuel,0,0,100,NA,NonFuel,0,0,0,0
1,71,19896,4,C-4,Conifer,10,10,3,C-3,Conifer,7,7,3,3
1,72,102024,675,M-1/M-2 (75 PC),Mixed,8,8,5,C-5,Conifer,3,2,5,6
1,73,128373,13,D-1/D-2,Deciduous,3,1,7,C-7,Conifer,4,3,-1,-2
1,74,19367,7,C-7,Conifer,4,3,102,Water,NonFuel,0,0,4,3
1,75,13660,13,D-1/D-2,Deciduous,3,1,102,Water,NonFuel,0,0,3,1
1,76,5169,102,Water,NonFuel,0,0,5,C-5,Conifer,3,2,-3,-2
1,77,45708,11,D-1,Deciduous,3,3,100,NA,NonFuel,0,0,3,3
1,78,235452,5,C-5,Conifer,3,2,100,NA,NonFuel,0,0,3,2
1,79,61440,2,C-2,Conifer,10,10,5,C-5,Conifer,3,2,7,8
1,80,20168,11,D-1,Deciduous,3,3,102,Water,NonFuel,0,0,3,3
1,81,28223,101,NF,NonFuel,0,0,102,Water,NonFuel,0,0,0,0
1,82,5828,650,M-1/M-2 (50 PC),Mixed,7,6,100,NA,NonFuel,0,0,7,6
1,83,75498,101,NF,NonFuel,0,0,60,M-1/M-2,Mixed,7,6,-7,-6
1,84,12489,625,M-1/M-2 (25 PC),Mixed,5,3,100,NA,NonFuel,0,0,5,3
1,85,3731,675,M-1/M-2 (75 PC),Mixed,8,8,102,Water,NonFuel,0,0,8,8
1,86,194332,4,C-4,Conifer,10,10,7,C-7,Conifer,4,3,6,7
1,87,595092,4,C-4,Conifer,10,10,33,O-1a/O-1b,Open,8,2,2,8
1,88,39077,7,C-7,Conifer,4,3,100,NA,NonFuel,0,0,4,3
1,89,32709,415,M-1 (15 PC),Mixed,3,3,100,NA,NonFuel,0,0,3,3
1,90,132435,102,Water,NonFuel,0,0,100,NA,NonFuel,0,0,0,0
1,91,44883,31,O-1a,Open,8,2,7,C-7,Conifer,4,3,4,-1
1,92,10040,102,Water,NonFuel,0,0,101,NF,NonFuel,0,0,0,0
1,93,5357,102,Water,NonFuel,0,0,33,O-1a/O-1b,Open,8,2,-8,-2
1,94,16101,101,NF,NonFuel,0,0,7,C-7,Conifer,4,3,-4,-3
1,95,52415,5,C-5,Conifer,3,2,101,NF,NonFuel,0,0,3,2
1,96,1858,4,C-4,Conifer,10,10,102,Water,NonFuel,0,0,10,10
1,97,17687,4,C-4,Conifer,10,10,5,C-5,Conifer,3,2,7,8
1,98,41770,625,M-1/M-2 (25 PC),Mixed,5,3,7,C-7,Conifer,4,3,1,0
1,99,2737,650,M-1/M-2 (50 PC),Mixed,7,6,102,Water,NonFuel,0,0,7,6
1,100,7867,2,C-2,Conifer,10,10,33,O-1a/O-1b,Open,8,2,2,8
1,101,7105,4,C-4,Conifer,10,10,60,M-1/M-2,Mixed,7,6,3,4
1,102,353641,4,C-4,Conifer,10,10,101,NF,NonFuel,0,0,10,10
1,103,1619,650,M-1/M-2 (50 PC),Mixed,7,6,7,C-7,Conifer,4,3,3,3
1,104,4066,625,M-1/M-2 (25 PC),Mixed,5,3,102,Water,NonFuel,0,0,5,3
1,105,2675,675,M-1/M-2 (75 PC),Mixed,8,8,100,NA,NonFuel,0,0,8,8
1,106,763,2,C-2,Conifer,10,10,100,NA,NonFuel,0,0,10,10
1,107,4592,415,M-1 (15 PC),Mixed,3,3,102,Water,NonFuel,0,0,3,3
1,108,479,650,M-1/M-2 (50 PC),Mixed,7,6,101,NF,NonFuel,0,0,7,6
1,109,44224,5,C-5,Conifer,3,2,105,VNF,NonFuel,0,0,3,2
1,110,551057,31,O-1a,Open,8,2,105,VNF,NonFuel,0,0,8,2
1,111,26331,11,D-1,Deciduous,3,3,105,VNF,NonFuel,0,0,3,3
1,112,3993,3,C-3,Conifer,7,7,105,VNF,NonFuel,0,0,7,7
1,113,16562,7,C-7,Conifer,4,3,105,VNF,NonFuel,0,0,4,3
1,114,106520,101,NF,NonFuel,0,0,105,VNF,NonFuel,0,0,0,0
1,115,4704,13,D-1/D-2,Deciduous,3,1,105,VNF,NonFuel,0,0,3,1
1,116,1180,102,Water,NonFuel,0,0,7,C-7,Conifer,4,3,-4,-3
1,117,18896,105,VNF,NonFuel,0,0,3,C-3,Conifer,7,7,-7,-7
1,118,2469,105,VNF,NonFuel,0,0,5,C-5,Conifer,3,2,-3,-2
1,119,59739,105,VNF,NonFuel,0,0,33,O-1a/O-1b,Open,8,2,-8,-2
1,120,263,105,VNF,NonFuel,0,0,60,M-1/M-2,Mixed,7,6,-7,-6
1,121,126310,105,VNF,NonFuel,0,0,7,C-7,Conifer,4,3,-4,-3
1,122,16176,625,M-1/M-2 (25 PC),Mixed,5,3,105,VNF,NonFuel,0,0,5,3
1,123,14058,105,VNF,NonFuel,0,0,101,NF,NonFuel,0,0,0,0
1,124,1602,650,M-1/M-2 (50 PC),Mixed,7,6,105,VNF,NonFuel,0,0,7,6
1,125,1306,4,C-4,Conifer,10,10,100,NA,NonFuel,0,0,10,10
1,126,735,102,Water,NonFuel,0,0,105,VNF,NonFuel,0,0,0,0
1,127,253,2,C-2,Conifer,10,10,101,NF,NonFuel,0,0,10,10
1,128,806,105,VNF,NonFuel,0,0,100,NA,NonFuel,0,0,0,0
1,129,386,415,M-1 (15 PC),Mixed,3,3,105,VNF,NonFuel,0,0,3,3
1,130,128175,2,C-2,Conifer,10,10,7,C-7,Conifer,4,3,6,7
1,131,1940914,3,C-3,Conifer,7,7,1,C-1,Conifer,7,7,0,0
1,132,126139,2,C-2,Conifer,10,10,1,C-1,Conifer,7,7,3,3
1,133,137138,5,C-5,Conifer,3,2,1,C-1,Conifer,7,7,-4,-5
1,134,3138,625,M-1/M-2 (25 PC),Mixed,5,3,1,C-1,Conifer,7,7,-2,-4
1,135,488914,4,C-4,Conifer,10,10,1,C-1,Conifer,7,7,3,3
1,136,32833,415,M-1 (15 PC),Mixed,3,3,1,C-1,Conifer,7,7,-4,-4
1,137,26020,675,M-1/M-2 (75 PC),Mixed,8,8,1,C-1,Conifer,7,7,1,1
1,138,345,675,M-1/M-2 (75 PC),Mixed,8,8,105,VNF,NonFuel,0,0,8,8
1,139,48352,31,O-1a,Open,8,2,1,C-1,Conifer,7,7,1,-5
1,140,2,11,D-1,Deciduous,3,3,1,C-1,Conifer,7,7,-4,-4
1,141,10842,7,C-7,Conifer,4,3,1,C-1,Conifer,7,7,-3,-4
1,142,185398,13,D-1/D-2,Deciduous,3,1,1,C-1,Conifer,7,7,-4,-6
1,143,4064,101,NF,NonFuel,0,0,1,C-1,Conifer,7,7,-7,-7
1,144,217,102,Water,NonFuel,0,0,1,C-1,Conifer,7,7,-7,-7
1,145,32,2,C-2,Conifer,10,10,105,VNF,NonFuel,0,0,10,10
1,146,313,4,C-4,Conifer,10,10,105,VNF,NonFuel,0,0,10,10
1,147,618,105,VNF,NonFuel,0,0,102,Water,NonFuel,0,0,0,0
1,148,14,650,M-1/M-2 (50 PC),Mixed,7,6,1,C-1,Conifer,7,7,0,-1
1,149,20,105,VNF,NonFuel,0,0,105,VNF,NonFuel,0,0,0,0
1,150,208092,105,VNF,NonFuel,0,0,1,C-1,Conifer,7,7,-7,-7
8,1,45005,4,C-4,Conifer,10,10,33,O-1a/O-1b,Open,8,2,2,8
8,2,34778,4,C-4,Conifer,10,10,7,C-7,Conifer,4,3,6,7
8,3,463683,3,C-3,Conifer,7,7,7,C-7,Conifer,4,3,3,4
8,4,41419,3,C-3,Conifer,7,7,33,O-1a/O-1b,Open,8,2,-1,5
8,5,340525,5,C-5,Conifer,3,2,7,C-7,Conifer,4,3,-1,-1
8,6,204756,5,C-5,Conifer,3,2,33,O-1a/O-1b,Open,8,2,-5,0
8,7,66315,31,O-1a,Open,8,2,101,NF,NonFuel,0,0,8,2
8,8,42088,4,C-4,Conifer,10,10,101,NF,NonFuel,0,0,10,10
8,9,9519,3,C-3,Conifer,7,7,101,NF,NonFuel,0,0,7,7
8,10,15336,31,O-1a,Open,8,2,7,C-7,Conifer,4,3,4,-1
8,11,85501,13,D-1/D-2,Deciduous,3,1,101,NF,NonFuel,0,0,3,1
8,12,3510,31,O-1a,Open,8,2,102,Water,NonFuel,0,0,8,2
8,13,772,3,C-3,Conifer,7,7,102,Water,NonFuel,0,0,7,7
8,14,220359,102,Water,NonFuel,0,0,102,Water,NonFuel,0,0,0,0
8,15,1863,101,NF,NonFuel,0,0,102,Water,NonFuel,0,0,0,0
8,16,175658,13,D-1/D-2,Deciduous,3,1,7,C-7,Conifer,4,3,-1,-2
8,17,504,102,Water,NonFuel,0,0,7,C-7,Conifer,4,3,-4,-3
8,18,2826,5,C-5,Conifer,3,2,102,Water,NonFuel,0,0,3,2
8,19,15880,2,C-2,Conifer,10,10,7,C-7,Conifer,4,3,6,7
8,20,115250,5,C-5,Conifer,3,2,101,NF,NonFuel,0,0,3,2
8,21,9047,101,NF,NonFuel,0,0,7,C-7,Conifer,4,3,-4,-3
8,22,23388,101,NF,NonFuel,0,0,101,NF,NonFuel,0,0,0,0
8,23,96181,31,O-1a,Open,8,2,33,O-1a/O-1b,Open,8,2,0,0
8,24,232,4,C-4,Conifer,10,10,102,Water,NonFuel,0,0,10,10
8,25,33820,101,NF,NonFuel,0,0,33,O-1a/O-1b,Open,8,2,-8,-2
8,26,36247,4,C-4,Conifer,10,10,13,D-1/D-2,Deciduous,3,1,7,9
8,27,45547,3,C-3,Conifer,7,7,13,D-1/D-2,Deciduous,3,1,4,6
8,28,10613,31,O-1a,Open,8,2,13,D-1/D-2,Deciduous,3,1,5,1
8,29,558,102,Water,NonFuel,0,0,101,NF,NonFuel,0,0,0,0
8,30,51461,5,C-5,Conifer,3,2,13,D-1/D-2,Deciduous,3,1,0,1
8,31,595,415,M-1 (15 PC),Mixed,3,3,33,O-1a/O-1b,Open,8,2,-5,1
8,32,130,415,M-1 (15 PC),Mixed,3,3,7,C-7,Conifer,4,3,-1,0
8,33,11,2,C-2,Conifer,10,10,102,Water,NonFuel,0,0,10,10
8,34,1536,13,D-1/D-2,Deciduous,3,1,102,Water,NonFuel,0,0,3,1
8,35,78953,4,C-4,Conifer,10,10,1,C-1,Conifer,7,7,3,3
8,36,229408,3,C-3,Conifer,7,7,1,C-1,Conifer,7,7,0,0
8,37,4307,625,M-1/M-2 (25 PC),Mixed,5,3,7,C-7,Conifer,4,3,1,0
8,38,20437,5,C-5,Conifer,3,2,1,C-1,Conifer,7,7,-4,-5
8,39,3617,675,M-1/M-2 (75 PC),Mixed,8,8,7,C-7,Conifer,4,3,4,5
8,40,49342,13,D-1/D-2,Deciduous,3,1,1,C-1,Conifer,7,7,-4,-6
8,41,1055,31,O-1a,Open,8,2,1,C-1,Conifer,7,7,1,-5
8,42,6691,2,C-2,Conifer,10,10,1,C-1,Conifer,7,7,3,3
8,43,916,675,M-1/M-2 (75 PC),Mixed,8,8,1,C-1,Conifer,7,7,1,1
8,44,1515,675,M-1/M-2 (75 PC),Mixed,8,8,13,D-1/D-2,Deciduous,3,1,5,7
8,45,2380,3,C-3,Conifer,7,7,100,NA,NonFuel,0,0,7,7
8,46,10201,625,M-1/M-2 (25 PC),Mixed,5,3,33,O-1a/O-1b,Open,8,2,-3,1
8,47,11125,5,C-5,Conifer,3,2,100,NA,NonFuel,0,0,3,2
8,48,3332,675,M-1/M-2 (75 PC),Mixed,8,8,33,O-1a/O-1b,Open,8,2,0,6
8,49,291606,13,D-1/D-2,Deciduous,3,1,33,O-1a/O-1b,Open,8,2,-5,-1
8,50,386,101,NF,NonFuel,0,0,1,C-1,Conifer,7,7,-7,-7
8,51,150,415,M-1 (15 PC),Mixed,3,3,13,D-1/D-2,Deciduous,3,1,0,2
8,52,221,4,C-4,Conifer,10,10,100,NA,NonFuel,0,0,10,10
8,53,267,625,M-1/M-2 (25 PC),Mixed,5,3,1,C-1,Conifer,7,7,-2,-4
8,54,1545,675,M-1/M-2 (75 PC),Mixed,8,8,101,NF,NonFuel,0,0,8,8
8,55,358,2,C-2,Conifer,10,10,33,O-1a/O-1b,Open,8,2,2,8
8,56,189,415,M-1 (15 PC),Mixed,3,3,1,C-1,Conifer,7,7,-4,-4
8,57,2352,650,M-1/M-2 (50 PC),Mixed,7,6,7,C-7,Conifer,4,3,3,3
8,58,36321,13,D-1/D-2,Deciduous,3,1,13,D-1/D-2,Deciduous,3,1,0,0
8,59,920,625,M-1/M-2 (25 PC),Mixed,5,3,13,D-1/D-2,Deciduous,3,1,2,2
8,60,846,415,M-1 (15 PC),Mixed,3,3,101,NF,NonFuel,0,0,3,3
8,61,312,11,D-1,Deciduous,3,3,13,D-1/D-2,Deciduous,3,1,0,2
8,62,26,2,C-2,Conifer,10,10,100,NA,NonFuel,0,0,10,10
8,63,2186,101,NF,NonFuel,0,0,13,D-1/D-2,Deciduous,3,1,-3,-1
8,64,738,650,M-1/M-2 (50 PC),Mixed,7,6,13,D-1/D-2,Deciduous,3,1,4,5
8,65,493,2,C-2,Conifer,10,10,13,D-1/D-2,Deciduous,3,1,7,9
8,66,2030,11,D-1,Deciduous,3,3,7,C-7,Conifer,4,3,-1,0
8,67,503,650,M-1/M-2 (50 PC),Mixed,7,6,101,NF,NonFuel,0,0,7,6
8,68,3124,7,C-7,Conifer,4,3,13,D-1/D-2,Deciduous,3,1,1,2
8,69,16,675,M-1/M-2 (75 PC),Mixed,8,8,102,Water,NonFuel,0,0,8,8
8,70,42317,7,C-7,Conifer,4,3,7,C-7,Conifer,4,3,0,0
8,71,1302,650,M-1/M-2 (50 PC),Mixed,7,6,33,O-1a/O-1b,Open,8,2,-1,4
8,72,98,2,C-2,Conifer,10,10,101,NF,NonFuel,0,0,10,10
8,73,111793,101,NF,NonFuel,0,0,100,NA,NonFuel,0,0,0,0
8,74,233,625,M-1/M-2 (25 PC),Mixed,5,3,100,NA,NonFuel,0,0,5,3
8,75,42,650,M-1/M-2 (50 PC),Mixed,7,6,100,NA,NonFuel,0,0,7,6
8,76,8085,31,O-1a,Open,8,2,100,NA,NonFuel,0,0,8,2
8,77,112,675,M-1/M-2 (75 PC),Mixed,8,8,100,NA,NonFuel,0,0,8,8
8,78,1665,7,C-7,Conifer,4,3,100,NA,NonFuel,0,0,4,3
8,79,7024,625,M-1/M-2 (25 PC),Mixed,5,3,101,NF,NonFuel,0,0,5,3
8,80,9622,13,D-1/D-2,Deciduous,3,1,100,NA,NonFuel,0,0,3,1
8,81,8434,7,C-7,Conifer,4,3,101,NF,NonFuel,0,0,4,3
8,82,25290,7,C-7,Conifer,4,3,33,O-1a/O-1b,Open,8,2,-4,1
8,83,2468,11,D-1,Deciduous,3,3,33,O-1a/O-1b,Open,8,2,-5,1
8,84,817,11,D-1,Deciduous,3,3,101,NF,NonFuel,0,0,3,3
8,85,978,7,C-7,Conifer,4,3,102,Water,NonFuel,0,0,4,3
8,86,30244,105,VNF,NonFuel,0,0,7,C-7,Conifer,4,3,-4,-3
8,87,35800,105,VNF,NonFuel,0,0,13,D-1/D-2,Deciduous,3,1,-3,-1
8,88,25861,105,VNF,NonFuel,0,0,33,O-1a/O-1b,Open,8,2,-8,-2
8,89,2242,105,VNF,NonFuel,0,0,101,NF,NonFuel,0,0,0,0
8,90,114,11,D-1,Deciduous,3,3,100,NA,NonFuel,0,0,3,3
8,91,4933,105,VNF,NonFuel,0,0,1,C-1,Conifer,7,7,-7,-7
8,92,1030,102,Water,NonFuel,0,0,100,NA,NonFuel,0,0,0,0
8,93,407,105,VNF,NonFuel,0,0,100,NA,NonFuel,0,0,0,0
8,94,72,11,D-1,Deciduous,3,3,102,Water,NonFuel,0,0,3,3
8,95,51,102,Water,NonFuel,0,0,1,C-1,Conifer,7,7,-7,-7
8,96,42,625,M-1/M-2 (25 PC),Mixed,5,3,102,Water,NonFuel,0,0,5,3
8,97,8032,5,C-5,Conifer,3,2,105,VNF,NonFuel,0,0,3,2
8,98,27503,101,NF,NonFuel,0,0,105,VNF,NonFuel,0,0,0,0
8,99,76162,31,O-1a,Open,8,2,105,VNF,NonFuel,0,0,8,2
8,100,3687,13,D-1/D-2,Deciduous,3,1,105,VNF,NonFuel,0,0,3,1
8,101,1942,7,C-7,Conifer,4,3,105,VNF,NonFuel,0,0,4,3
8,102,576,3,C-3,Conifer,7,7,105,VNF,NonFuel,0,0,7,7
8,103,623,11,D-1,Deciduous,3,3,105,VNF,NonFuel,0,0,3,3
8,104,13,650,M-1/M-2 (50 PC),Mixed,7,6,102,Water,NonFuel,0,0,7,6
